City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Lavumisa,SZ,2022-09-26 03:34:01,-27.31,31.892,66.74,81,2,2.68
281,Pangody,RU,2022-09-26 03:34:02,65.85,74.4859,32.0,67,57,18.72
282,Zabol,AF,2022-09-26 03:34:02,32.25,67.25,69.01,9,0,3.2
283,Didi Lilo,GE,2022-09-26 03:34:02,41.7361,44.9647,46.18,81,0,10.36
284,Bani,DO,2022-09-26 03:34:03,18.2833,-70.3333,74.64,82,82,6.64
285,Ciudad Bolivar,VE,2022-09-26 03:34:03,8.1222,-63.5497,78.37,85,100,3.38
286,Fayaoue,NC,2022-09-26 03:34:03,-20.65,166.5333,77.61,75,0,8.93
287,Eresos,GR,2022-09-26 03:34:04,39.1667,25.9333,65.5,52,27,6.33
288,Moisei,RO,2022-09-26 03:34:04,47.6556,24.5401,47.98,83,100,1.95
289,Itamarandiba,BR,2022-09-26 03:34:04,-17.8572,-42.8589,57.31,97,30,2.98
290,Lempaala,FI,2022-09-26 03:34:05,61.3167,23.75,42.42,93,0,4.61
291,Doha,QA,2022-09-26 03:31:01,25.2867,51.5333,87.78,74,2,6.91
